Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    H       R       
3-4     12      1.2788  -9.25   17.65   8.84    688.28  -144.8  81.45   1.0741  700.37  
3-5     25      1.2434  -8.14   21.38   8.7     682.16  -110.1  72.87   1.673   582.07  
3-6     26      1.2386  -8.4    22.04   8.81    687.55  -112.4  75.34   1.4938  563.24  
3-7     11      1.3044  -8.53   17.56   8.68    672.5   -148.2  76.32   1.3998  719.75  
3-8     10      1.2423  -9.93   17.29   8.88    712.34  -138.7  85.24   0.8603  693.14  
3-9     2       1.3498  -8.37   15.58   8.51    659.6   -167.7  75.25   1.4815  837.67  
3-10    30      1.2095  -8.42   24.85   8.91    694.85  -95.45  75.84   1.4868  500     
3-11    4       1.3202  -7.87   16.61   8.33    665.33  -152.3  70.38   1.8475  768.36  
3-12    14      1.2922  -8.23   18.28   8.6     672.9   -139.4  73.7    1.588   688.96  
3-13    7       1.3142  -8.38   17.15   8.61    668.8   -151.6  75.13   1.4829  742.18  
3-14    28      1.2134  -8.42   24.45   8.9     693.96  -97.89  75.8    1.4855  508.2   
3-15    24      1.2631  -8.47   20.12   8.77    682.64  -127.1  75.81   1.4453  617.57  
3-16    1       1.2817  -10.13  14.06   8.76    693.68  -151.8  86.18   0.8204  963.99  
3-17    16      1.2841  -8.6    18.66   8.75    678.77  -139.4  76.86   1.3656  669.3   
3-18    19      1.2705  -8.54   19.58   8.77    681.77  -132.1  76.43   1.3991  635.07  
3-19    20      1.2679  -8.11   19.63   8.62    676.95  -124.6  72.56   1.6813  637.1   
3-20    21      1.2151  -9.82   20.09   8.96    724.51  -128    85.04   0.8826  568.88  
3-21    18      1.2757  -8.65   19.15   8.78    681.75  -136    77.26   1.3409  649.06  
3-22    17      1.2794  -8.53   19      8.74    679.17  -136.2  76.26   1.4081  656.44  
3-23    15      1.2662  -9.26   18.43   8.87    693.17  -140.1  81.57   1.0688  662.47  
3-24    5       1.2907  -9.28   16.84   8.82    684.19  -149.7  81.67   1.0608  745.2   
3-25    8       1.2079  -10.46  16.96   8.86    738.95  -132    87.65   0.7343  683.09  
3-26    13      1.2793  -9.02   18.25   8.83    685.39  -142.5  79.99   1.1634  678.1   
3-27    22      1.2151  -9.82   20.09   8.96    724.51  -128    85.04   0.8826  568.88  
3-28    23      1.2151  -9.82   20.09   8.96    724.51  -128    85.04   0.8826  568.88  
3-29    27      1.2114  -8.89   24.55   8.99    705.37  -108.9  79.65   1.2235  500     
3-30    29      1.2134  -8.42   24.45   8.9     693.96  -97.89  75.8    1.4855  508.2   
---------------------------------------------------------------------
Average :       1.262   -8.95   19.07   8.786   691     -133    79.02   
Optimum :       1.208   -7.87   24.85   8.99    738.9   -95.5   87.65   
 
4-1     20      1.2386  -8.4    22.04   8.81    687.55  -112.4  75.34   1.4938  563.24  
4-2     27      1.2114  -8.89   24.55   8.99    705.37  -108.9  79.65   1.2235  500     
4-3     10      1.2757  -8.65   19.15   8.78    681.75  -136    77.26   1.3409  649.06  
4-4     7       1.2841  -8.6    18.66   8.75    678.77  -139.4  76.86   1.3656  669.3   
4-5     8       1.2841  -8.6    18.66   8.75    678.77  -139.4  76.86   1.3656  669.3   
4-6     14      1.2151  -9.82   20.09   8.96    724.51  -128    85.04   0.8826  568.88  
4-7     15      1.2151  -9.82   20.09   8.96    724.51  -128    85.04   0.8826  568.88  
4-8     16      1.2151  -9.82   20.09   8.96    724.51  -128    85.04   0.8826  568.88  
4-9     28      1.2111  -8.42   24.69   8.91    694.5   -96.52  75.83   1.4854  503.42  
4-10    29      1.2095  -8.42   24.85   8.91    694.85  -95.45  75.84   1.4868  500     
4-11    5       1.1763  -10.88  17.34   8.86    771.04  -124.3  89.39   0.6497  624.57  
4-12    6       1.2948  -8.39   18.15   8.66    673.74  -142.3  75.14   1.4836  693.59  
4-13    23      1.2022  -9.55   23.11   9.01    724.71  -118.5  83.9    0.9626  500     
4-14    4       1.3124  -8.56   17.12   8.66    670.53  -152.1  76.57   1.3832  741.83  
4-15    18      1.2518  -8.86   20.57   8.88    692.06  -128    78.98   1.2368  595.13  
4-16    26      1.21    -9.1    24.18   9       710.71  -112.9  81.09   1.1313  500     
4-17    30      1.2095  -8.42   24.85   8.91    694.85  -95.45  75.84   1.4868  500     
4-18    17      1.2631  -8.47   20.12   8.77    682.64  -127.1  75.81   1.4453  617.57  
4-19    13      1.266   -8.55   19.89   8.78    683.01  -129.8  76.46   1.3987  624.23  
4-20    11      1.2768  -8.45   19.21   8.72    678.9   -133.9  75.6    1.4546  649.78  
4-21    9       1.2807  -8.12   18.86   8.59    674.45  -132    72.67   1.6684  665.33  
4-22    25      1.2255  -8.39   23.21   8.84    690.35  -104.3  75.32   1.5067  535.01  
4-23    22      1.2317  -8.8    22.47   8.93    697.13  -117.2  78.72   1.267   545.62  
4-24    1       1.3523  -9.1    14.44   8.66    660.81  -170.7  80.75   1.1317  934.27  
4-25    24      1.2259  -8.25   23.01   8.81    687.67  -101.4  74.09   1.5962  539.84  
4-26    3       1.1847  -10.89  16.32   8.83    762.53  -127.1  89.27   0.6521  698.34  
4-27    21      1.2355  -8.15   22.02   8.73    683.85  -105.2  73      1.6698  564.44  
4-28    12      1.2756  -8.11   19.13   8.58    675.3   -128.9  72.48   1.6846  654.74  
4-29    2       1.3521  -8.35   15.49   8.49    658.96  -168.7  75.07   1.4955  843.29  
4-30    19      1.2412  -8.16   21.58   8.71    682.9   -109.1  73.07   1.6591  576.45  
---------------------------------------------------------------------
Average :       1.248   -8.83   20.46   8.807   695     -125    78.2    
Optimum :       1.176   -8.11   24.85   9.01    771     -95.5   89.39   
 
5-1     1       1.3977  -8.05   13.97   8.25    648.37  -189    73.04   1.6698  965.07  
5-2     7       1.2807  -8.12   18.86   8.59    674.45  -132    72.67   1.6684  665.33  
5-3     24      1.2301  -8.48   22.84   8.86    691.07  -109.2  76.09   1.4475  543.09  
5-4     12      1.2715  -8.39   19.56   8.72    679.49  -130.3  75.11   1.4916  637.71  
5-5     20      1.2326  -7.91   21.67   8.61    680.59  -98.19  70.5    1.8692  570.88  
5-6     9       1.1765  -10.68  18.74   8.9     767.23  -123.2  88.86   0.6832  562.44  
5-7     15      1.261   -8.07   20.02   8.61    677.81  -119.8  72.13   1.7181  623.68  
5-8     17      1.2568  -8.55   20.56   8.81    685.6   -125.3  76.57   1.3955  602.55  
5-9     21      1.2382  -8.31   22.02   8.79    686.1   -110.4  74.56   1.5508  564.61  
5-10    6       1.2848  -8.39   18.73   8.69    676.28  -137.3  75.15   1.4846  669.12  
5-11    29      1.2097  -8.1    24.07   8.79    687.66  -85.89  72.71   1.7211  510.78  
5-12    19      1.2405  -8.51   21.9    8.84    689.08  -115.8  76.3    1.4248  565.67  
5-13    25      1.2022  -9.55   23.11   9.01    724.71  -118.5  83.9    1.5703  500     
