Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    R       theta   
3-17    28      1.7907  0       0       0       57.482  -30.78  98.99   0.5609  41.123  
3-18    27      1.9518  0       0       0       70.235  -34.94  99.18   0.553   46.7    
3-19    30      1.0743  0       0       0       46.73   -1.141  98.71   0.5757  35.25   
3-20    13      6.3338  0       0       0       69.881  -123.7  99.23   0.5313  50      
3-21    2       85.426  0       0       0       46.024  -438.2  98.64   0.4754  44.764  
3-22    21      3.5543  0       0       0       51.297  68.604  98.7    0.5916  34.444  
3-23    6       12.687  0       0       0       65.453  -187.1  99.18   0.5185  50      
3-24    7       12.687  0       0       0       65.453  -187.1  99.18   0.5185  50      
3-25    25      2.5518  0       0       0       70.06   -53.88  99.2    0.5483  47.411  
3-26    16      4.1219  0       0       0       72.384  -89.76  99.24   0.5383  49.823  
3-27    1       98.432  0       0       0       44.696  -464.2  98.55   0.4718  43.963  
3-28    12      8.5658  0       0       0       43.429  -120.3  98.76   0.5461  37.698  
3-29    17      4.1219  0       0       0       72.384  -89.76  99.24   0.5383  49.823  
3-30    22      2.8718  0       0       0       58.509  -59.13  99.04   0.553   42.652  
---------------------------------------------------------------------
Average :       15.35   0       0       0       59.58   -89.5   98.94   
Optimum :       1.074   0       0       0       50.72   -1.14   99.24   
 
4-1     23      1.6957  0       0       0       80.519  -14.75  99.28   0.5532  50      
4-2     8       7.8971  0       0       0       45.022  -116.3  98.8    0.5461  38.36   
4-3     21      2.0981  0       0       0       64.864  -40.53  99.12   0.5543  44.675  
4-4     26      1.6255  0       0       0       62.803  -24.33  99.08   0.5596  43.147  
4-5     24      1.6545  0       0       0       80.455  10.684  99.26   0.5596  48.786  
4-6     7       7.4616  0       0       0       64.026  -133.1  99.16   0.5317  47.737  
4-7     15      2.8718  0       0       0       58.509  -59.13  99.04   0.553   42.652  
4-8     22      1.9518  0       0       0       70.235  -34.94  99.18   0.553   46.7    
4-9     9       6.9319  0       0       0       69.807  131.63  98.96   0.5964  38.854  
4-10    1       230.91  0       0       0       39.929  -676    97.83   0.4418  41.408  
4-11    4       16.069  0       0       0       35.657  -158.1  98.52   0.5412  34.749  
4-12    13      4.4905  0       0       0       94.618  104.14  99.29   0.5768  49.26   
4-13    18      2.4177  0       0       0       71.213  -50.1   99.21   0.5487  47.739  
4-14    12      4.9822  0       0       0       73.843  105.75  99.07   0.5875  41.562  
