Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L       S       L2      
10-7    15      5.8144  10.11   35.13   2.32    113.05  224.66  2916    91.074  11.035  90.014  
10-8    9       1.4957  10.08   24.1    2.29    114.65  45.856  3024    86.93   11.631  90.301  
10-9    25      1.6059  10.19   35.79   2.39    99.643  48.977  2981    87.003  11.412  89.925  
10-10   2       2.8424  7.37    -1.02   -1.28   42.602  -29.7   2743    86.938  11.788  86.891  
10-11   4       2.2174  10.33   22.23   2.4     116.59  93.311  3008    88.277  13.68   89.942  
10-12   20      1.5512  10.16   33.09   2.34    108.81  48.751  3008    87.019  11.8    90.117  
10-13   24      1.7638  10.23   34.88   2.38    106.44  62.548  2995    87.392  12.121  89.985  
10-14   8       1.6893  10.1    23.98   2.24    133.35  61.199  3056    87.492  13.117  90.579  
10-15   26      1.1036  10.24   35.14   2.41    101.5   0.4512  3011    85.9    12.071  89.957  
10-16   27      1.1036  10.24   35.14   2.41    101.5   0.4512  3011    85.9    12.071  89.957  
10-17   29      2.6464  10.19   38.27   2.31    122.38  118.03  3007    88.751  12.652  90.219  
10-18   6       1.4239  10.12   22.33   2.15    159.48  0.3005  3114    86.596  16.992  90.902  
10-19   28      1.1036  10.24   35.14   2.41    101.5   0.4512  3011    85.9    12.071  89.957  
10-20   3       1.6867  10.39   13.41   2.34    150.05  57.016  3086    88.008  19.448  89.768  
10-21   16      5.8144  10.11   35.13   2.32    113.05  224.66  2916    91.074  11.035  90.014  
10-22   21      1.5512  10.16   33.09   2.34    108.81  48.751  3008    87.019  11.8    90.117  
10-23   5       1.1112  10.36   20.84   2.49    101.53  4.0934  3010    86.122  13.216  89.772  
10-24   7       1.8478  10.16   23.94   2.17    157.94  69.064  3090    88.095  16.225  90.737  
10-25   13      1.1597  10.13   28.54   2.38    96.627  1.2768  2995    85.803  10.962  89.964  
10-26   11      5.5712  10.2    31.24   2.33    119.81  224.21  2940    91.171  12.145  90.007  
10-27   10      9.776   10.15   32.72   2.28    135.86  345.41  2904    93.849  12.19   90.083  
10-28   17      1.1126  10.27   30.9    2.38    114.32  11.851  3039    86.288  13.301  90.11   
10-29   22      2.394   10.22   34.34   2.37    108.35  99.182  2981    88.256  12.047  89.983  
10-30   1       3.7232  5.58    -3.43   -3.6    44.404  73.049  2764    89.837  10.789  86.393  
---------------------------------------------------------------------
Average :       2.497   9.948   28.54   2.021   111.7   76.52   2988    
Optimum :       1.104   10.39   41.52   2.49    113     0.301   2998    
 
11-1    16      2.5499  10.23   32.69   2.37    111.01  108.22  2983    88.489  12.267  90.001  
11-2    29      2.4916  10.18   38.15   2.31    119.64  109.12  3005    88.518  12.431  90.2    
11-3    21      1.4766  10.17   33.39   2.34    111.1   43.74   3016    86.921  12.024  90.156  
11-4    22      1.4281  10.23   33.24   2.41    100.22  36.078  2990    86.733  11.778  89.909  
11-5    30      4.7969  10.15   41.52   2.31    120.08  200.88  2954    90.595  11.8    90.117  
11-6    10      1.0823  10.32   24.89   2.44    105.86  -6.039  3026    85.853  13.16   89.923  
11-7    4       6.6865  10.33   18.75   2.36    137.69  271.88  2962    92.462  14.395  89.902  
11-8    27      1.6817  10.18   36.63   2.34    111.68  58.789  3010    87.287  12.075  90.138  
11-9    14      1.6194  10.15   31.35   2.33    111.29  54.338  3011    87.159  11.878  90.163  
11-10   2       2.8424  7.37    -1.02   -1.28   42.602  -29.7   2743    87.251  12.043  89.939  
11-11   5       2.2174  10.33   22.23   2.4     116.59  93.311  3008    89.624  12.547  86.912  
11-12   18      1.5512  10.16   33.09   2.34    108.81  48.751  3008    88.469  10.289  89.464  
11-13   23      1.7638  10.23   34.88   2.38    106.44  62.548  2995    90.618  11.241  89.936  
11-14   9       1.6893  10.1    23.98   2.24    133.35  61.199  3056    88.733  13.474  90.02   
11-15   24      1.1036  10.24   35.14   2.41    101.5   0.4512  3011    85.9    12.071  89.957  
11-16   25      1.1036  10.24   35.14   2.41    101.5   0.4512  3011    86.635  12.001  89.949  
11-17   28      2.6464  10.19   38.27   2.31    122.38  118.03  3007    91.074  11.035  90.014  
11-18   7       1.4239  10.12   22.33   2.15    159.48  0.3005  3114    87.019  11.8    90.117  
11-19   26      1.1036  10.24   35.14   2.41    101.5   0.4512  3011    91.074  11.035  90.014  
11-20   3       1.6867  10.39   13.41   2.34    150.05  57.016  3086    91.074  11.035  90.014  
11-21   15      5.8144  10.11   35.13   2.32    113.05  224.66  2916    91.043  10.558  90.016  
11-22   19      1.5512  10.16   33.09   2.34    108.81  48.751  3008    85.931  12.548  89.955  
11-23   6       1.1112  10.36   20.84   2.49    101.53  4.0934  3010    85.9    12.071  89.957  
11-24   8       1.8478  10.16   23.94   2.17    157.94  69.064  3090    91.074  11.035  90.014  
11-25   13      1.1597  10.13   28.54   2.38    96.627  1.2768  2995    86.635  12.001  89.949  
11-26   12      5.5712  10.2    31.24   2.33    119.81  224.21  2940    85.9    12.071  89.957  
11-27   11      9.776   10.15   32.72   2.28    135.86  345.41  2904    87.086  12.237  89.99   
11-28   17      1.1126  10.27   30.9    2.38    114.32  11.851  3039    87.324  11.684  90.112  
11-29   20      2.394   10.22   34.34   2.37    108.35  99.182  2981    87.182  12.818  90.027  
11-30   1       3.7232  5.58    -3.43   -3.6    44.404  73.049  2764    88.204  12.555  90.14   
---------------------------------------------------------------------
Average :       2.567   9.963   28.35   2.026   112.4   79.71   2988    
Optimum :       1.082   10.39   41.52   2.49    111.7   0.301   2983    
 
