Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L       S       L2      
3-3     6       7.3804  9.42    11.08   1.96    159.47  -310.3  3203    80      18.52   93.028  
3-4     4       1.9153  8.82    6.65    1.8     175.71  -67.45  3165    85.625  11.732  94.182  
3-5     15      2.0509  9.44    11.02   1.85    188.5   74.268  3132    88.82   14.63   92.623  
3-6     16      2.0509  9.44    11.02   1.85    188.5   74.268  3132    88.82   14.63   92.623  
3-7     25      7.0821  10.11   22.04   2.03    203.64  332.77  3039    94.287  16.937  90.804  
3-8     1       8.1753  9.49    12.51   1.62    270.97  407.25  3092    97.122  18.47   92.638  
3-9     10      7.5354  10.45   9.31    2.76    103.6   -256.3  3128    80.423  19.467  88.963  
3-10    7       7.3804  9.42    11.08   1.96    159.47  -310.3  3203    80      18.52   93.028  
3-11    8       6.5518  9.46    11.9    1.67    248.55  335.13  3101    95.391  17.312  92.742  
3-12    9       7.3526  9.43    11.16   1.96    159.29  -309.3  3203    80      18.434  92.989  
3-13    2       12.231  9.71    15.52   1.67    307.56  563.01  3047    100     19.115  91.887  
3-14    3       12.231  9.71    15.52   1.67    307.56  563.01  3047    100     19.115  91.887  
3-15    14      4.6758  9.67    13.55   1.99    162.56  -223.7  3197    81.82   18.345  92.278  
3-16    24      3.1146  9.92    18.01   2.08    161.49  -153.4  3151    83.248  18.303  91.45   
3-17    27      1.7579  10.35   20.81   2.39    121.18  65.962  3031    87.705  14.509  89.974  
3-18    28      1.7579  10.35   20.81   2.39    121.18  65.962  3031    87.705  14.509  89.974  
3-19    5       1.9153  8.82    6.65    1.8     175.71  -67.45  3165    85.625  11.732  94.182  
3-20    12      1.8669  9.02    8.84    1.6     190.52  -49.24  3166    87.051  19.522  94.285  
3-21    22      3.323   10.4    16.07   2.39    136.07  155.46  3022    89.973  16.064  89.832  
3-22    21      9.711   10.07   21.83   2       221.8   426.68  3016    96.265  16.625  90.882  
3-23    30      2.41    10.25   29.45   2.39    108.11  99.867  2980    88.297  12.249  89.944  
3-24    11      1.8184  8.88    7.99    1.52    199.78  23.18   3165    88.992  19.256  94.864  
3-25    26      1.7872  9.86    17.1    1.92    187.57  39.652  3132    88.111  18.666  91.617  
3-26    23      3.817   9.91    18.04   1.88    211.26  198.34  3104    91.889  18.968  91.448  
3-27    29      1.7579  10.35   20.81   2.39    121.18  65.962  3031    87.705  14.509  89.974  
3-28    13      13.131  10.19   18.08   2.05    241.46  535.08  2985    98.476  18.182  90.381  
3-29    17      4.7693  9.73    14.22   2.02    160.66  -226.4  3197    81.675  18.23   92.11   
3-30    18      7.2161  9.84    17.02   1.81    243.2   358.66  3075    95.511  18.418  91.617  
---------------------------------------------------------------------
Average :       5.286   9.749   15.08   1.975   189.3   99.8    3103    
Optimum :       1.758   10.45   29.45   2.76    108.1   23.18   3054    
 
4-1     27      1.7579  10.35   20.81   2.39    121.18  65.962  3031    87.705  14.509  89.974  
4-2     6       6.5518  9.46    11.9    1.67    248.55  335.13  3101    95.391  17.312  92.742  
4-3     26      1.6298  10.21   18.48   2.15    163.58  -42.4   3127    85.85   20      90.533  
4-4     22      1.141   9.74    14.01   2.16    127.25  -3.976  3072    85.695  10.58   90.861  
4-5     11      2.0509  9.44    11.02   1.85    188.5   74.268  3132    88.82   14.63   92.623  
4-6     20      9.711   10.07   21.83   2       221.8   426.68  3016    96.265  16.625  90.882  
4-7     12      1.9021  9.44    11.97   1.72    201.18  41.07   3149    88.778  19.138  92.84   
4-8     13      7.9331  9.9     18.18   1.89    231.42  377.87  3053    95.552  16.99   91.4    
4-9     28      1.7579  10.35   20.81   2.39    121.18  65.962  3031    87.705  14.509  89.974  
4-10    29      1.7579  10.35   20.81   2.39    121.18  65.962  3031    87.705  14.509  89.974  
4-11    17      4.0456  9.81    16.27   1.86    212.18  210.83  3103    92.132  17.819  91.74   
4-12    1       1.8837  8.2     4.51    1.42    191.64  50.566  3175    89.973  16.064  99.24   
4-13    2       9.7701  10.24   7.32    2.72    124.15  330.63  2928    94.287  16.937  88.692  
4-14    7       6.5518  9.46    11.9    1.67    248.55  335.13  3101    95.391  17.312  92.742  
4-15    16      1.6967  9.62    12.57   1.99    169.21  46.359  3118    87.646  13.394  91.905  
4-16    18      1.7472  10.4    12.72   2.35    150.7   62.419  3086    88.17   19.781  89.686  
4-17    8       7.2888  9.53    12.28   1.97    159.43  -307.6  3202    80      18.998  92.651  
4-18    15      9.5962  9.96    19.71   1.93    231.59  430.62  3027    96.459  16.459  91.18   
4-19    10      1.6898  9.31    9.88    1.83    185.7   20.626  3147    87.709  14.651  93.064  
4-20    19      2.6154  10.42   14.68   2.53    108.97  110.31  2983    88.815  14.488  89.533  
4-21    21      3.323   10.4    16.07   2.39    136.07  155.46  3022    89.973  16.064  89.832  
4-22    24      7.0821  10.11   22.04   2.03    203.64  332.77  3039    94.287  16.937  90.804  
4-23    30      2.41    10.25   29.45   2.39    108.11  99.867  2980    88.297  12.249  89.944  
4-24    4       7.1703  9.36    10.57   1.93    160.18  -304.9  3203    80.185  18.47   93.227  
4-25    25      7.0821  10.11   22.04   2.03    203.64  332.77  3039    94.287  16.937  90.804  
4-26    5       7.3804  9.42    11.08   1.96    159.47  -310.3  3203    80      18.52   93.028  
4-27    14      10.523  10.05   20.1    1.92    249.43  471.03  3027    97.484  18.363  90.921  
4-28    23      3.1668  9.93    18.25   1.96    193.52  159.65  3100    90.669  17.23   91.409  
4-29    3       7.5696  9.25    9.68    1.92    159.35  -315.5  3203    80      18.153  93.602  
4-30    9       1.9782  9.02    8.87    1.54    205.27  49.199  3161    89.553  19.623  94.29   
---------------------------------------------------------------------
Average :       4.692   9.805   15.33   2.032   176.9   112.2   3086    
Optimum :       1.141   10.42   29.45   2.72    109     -3.98   3031    
 
5-1     13      6.9081  10.03   19.94   1.93    225.41  338.68  3062    94.785  18.414  91.074  
5-2     18      2.7598  9.88    16.73   2.08    161.93  133.63  3073    89.422  13.386  91.2    
5-3     28      2.41    10.25   29.45   2.39    108.11  99.867  2980    88.297  12.249  89.944  
5-4     24      1.7579  10.35   20.81   2.39    121.18  65.962  3031    87.705  14.509  89.974  
5-5     15      1.141   9.74    14.01   2.16    127.25  -3.976  3072    85.695  10.58   90.861  
5-6     10      1.7472  10.4    12.72   2.35    150.7   62.419  3086    88.17   19.781  89.686  
5-7     25      1.7579  10.35   20.81   2.39    121.18  65.962  3031    87.705  14.509  89.974  
5-8     29      2.41    10.25   29.45   2.39    108.11  99.867  2980    88.297  12.249  89.944  
5-9     23      3.3564  10.21   21.58   2.22    147.49  -161.5  3173    82.781  18.544  90.747  
5-10    4       10.869  10.15   19.3    2       237.86  472.1   3013    97.356  18.392  90.591  
5-11    1       3.4331  8.76    1.25    0.91    55.708  -87.12  2880    85.268  14.605  87.231  
5-12    8       1.8039  9.48    12.55   1.72    199.6   18.303  3151    88.29   20      92.692  
5-13    17      9.0046  10.07   21.85   2       217.2   402.53  3022    95.767  16.656  90.883  
5-14    20      7.7125  10.11   22.02   2.03    207.64  355.97  3033    94.784  16.905  90.804  
5-15    11      1.7472  10.4    12.72   2.35    150.7   62.419  3086    88.17   19.781  89.686  
5-16    12      1.7472  10.4    12.72   2.35    150.7   62.419  3086    88.17   19.781  89.686  
5-17    14      2.6154  10.42   14.68   2.53    108.97  110.31  2983    88.815  14.488  89.533  
5-18    22      7.0821  10.11   22.04   2.03    203.64  332.77  3039    94.287  16.937  90.804  
5-19    5       7.4065  9.87    17.51   1.86    232.69  360.35  3063    95.281  17.263  91.51   
5-20    26      2.7275  10.18   22.87   2.14    169.08  132.14  3080    89.675  16.904  90.703  
5-21    27      2.6235  10.24   27.44   2.27    139     122.11  3040    89.051  14.486  90.337  
5-22    21      8.2872  10.1    22.38   2.04    207.79  374.1   3024    95.113  16.481  90.818  
5-23    30      2.41    10.25   29.45   2.39    108.11  99.867  2980    88.297  12.249  89.944  
5-24    7       1.5127  9.54    11.7    1.97    169     -6.316  3134    86.521  13.631  92.171  
5-25    19      6.8494  10.04   19.62   2.18    148.77  -286.2  3192    80      19.157  91.184  
5-26    6       3.4953  9.72    14.39   1.91    195.57  178.98  3099    91.065  15.377  91.874  
5-27    9       4.0456  9.81    16.27   1.86    212.18  210.83  3103    92.132  17.819  91.74   
5-28    16      1.141   9.74    14.01   2.16    127.25  -3.976  3072    85.695  10.58   90.861  
5-29    3       8.872   9.64    13.88   1.76    252.35  421.56  3061    96.729  16.251  92.095  
5-30    2       1.6463  8.26    4.62    1.51    183.94  -7.143  3176    88.355  15.004  98.607  
---------------------------------------------------------------------
Average :       4.043   9.958   17.96   2.076   165     134.2   3060    
Optimum :       1.141   10.42   29.45   2.53    109     -3.98   3062    
 
6-1     8       6.9081  10.03   19.94   1.93    225.41  338.68  3062    94.785  18.414  91.074  
6-2     29      2.41    10.25   29.45   2.39    108.11  99.867  2980    88.297  12.249  89.944  
6-3     26      2.5514  10.14   25.45   2.2     149.86  120     3059    89.064  14.487  90.658  
6-4     3       2.6581  10.43   11.7    2.65    97.802  105.49  2955    88.803  14.487  89.212  
6-5     25      2.7463  10.03   22.46   2.26    118.94  121.42  2995    88.683  11.236  90.326  
6-6     18      2.3042  10.38   18.41   2.39    130.78  102.27  3035    88.665  15.499  89.955  
6-7     21      1.9765  10.37   19.23   2.39    127.37  81.524  3037    88.144  15.209  89.973  
6-8     10      1.9809  10.44   14.03   2.46    128.76  82.001  3042    88.323  16.821  89.657  
6-9     22      3.3564  10.21   21.58   2.22    147.49  -161.5  3173    82.781  18.544  90.747  
6-10    11      2.6154  10.42   14.68   2.53    108.97  110.31  2983    88.815  14.488  89.533  
6-11    5       1.2832  9.68    13.33   2.14    125.83  26.265  3057    86.338  10      90.811  
6-12    17      4.0657  10.18   20.54   2.2     150.48  -193.6  3180    82.138  19.488  90.796  
6-13    23      1.7579  10.35   20.81   2.39    121.18  65.962  3031    87.705  14.509  89.974  
6-14    24      1.7579  10.35   20.81   2.39    121.18  65.962  3031    87.705  14.509  89.974  
6-15    4       2.141   9.72    13.88   2.09    145.13  93.737  3064    88.183  11.21   91.119  
6-16    1       8.2364  10.38   12.7    2.34    170.26  343.29  2994    94.4    17.976  89.629  
