Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L       R       
3-15    22      1.4401  0       0       0       39.496  12.459  99.14   1.0553  0.3316  
3-16    7       2.5895  0       0       0       38.941  -42.16  99.22   0.9976  0.5     
3-17    10      1.9698  0       0       0       35.542  -25.29  99.11   1.0191  0.3589  
3-18    3       3.8098  0       0       0       52.672  73.827  99.28   1.1042  0.4919  
3-19    1       8.9838  0       0       0       28.624  -98.48  99.04   0.9494  0.33    
3-20    4       3.5555  0       0       0       49.78   67.615  99.25   1.1007  0.4599  
3-21    18      1.5259  0       0       0       46.154  20.085  99.26   1.0553  0.5     
3-22    24      1.4348  0       0       0       39.531  12.281  99.14   1.0547  0.3583  
3-23    17      1.5095  0       0       0       40.553  16.109  99.16   1.057   0.3916  
3-24    29      1.2793  0       0       0       39.309  2.3573  99.15   1.0438  0.4007  
3-25    6       2.6914  0       0       0       43.646  47.742  99.16   1.0876  0.3552  
3-26    5       2.7038  0       0       0       43.811  48.1    99.17   1.0888  0.322   
3-27    21      1.4663  0       0       0       37.044  -10.34  99.12   1.0334  0.3545  
3-28    16      1.6154  0       0       0       44.983  22.407  99.24   1.0586  0.4761  
3-29    14      1.7728  0       0       0       40.956  24.66   99.15   1.0669  0.324   
3-30    9       2.0507  0       0       0       36.038  -27.84  99.13   1.0155  0.3975  
---------------------------------------------------------------------
Average :       2.163   0       0       0       39.66   2.337   99.15   
Optimum :       1.279   0       0       0       49.78   0.293   99.28   
 
4-1     30      1.2801  0       0       0       39.062  0.2929  99.15   1.0419  0.4     
4-2     3       2.1731  0       0       0       34.967  -29.68  99.1    1.0155  0.3317  
4-3     25      1.3095  0       0       0       38.499  2.9214  99.13   1.0459  0.3582  
4-4     28      1.3089  0       0       0       38.202  -0.244  99.13   1.0427  0.3622  
4-5     20      1.3466  0       0       0       38.256  -5.724  99.14   1.0364  0.3948  
4-6     21      1.3466  0       0       0       38.256  -5.724  99.14   1.0364  0.3948  
4-7     24      1.3265  0       0       0       38.755  5.4128  99.13   1.0483  0.3564  
4-8     10      1.4715  0       0       0       39.723  13.946  99.14   1.0562  0.3589  
4-9     4       1.7527  0       0       0       41.278  24.311  99.15   1.0669  0.3     
4-10    7       1.6342  0       0       0       46.606  23.707  99.26   1.0586  0.5     
4-11    27      1.287   0       0       0       39.082  2.4122  99.15   1.0442  0.393   
4-12    16      1.3799  0       0       0       38.229  -7.831  99.15   1.0342  0.4018  
4-13    17      1.3451  0       0       0       40.122  8.9477  99.16   1.0499  0.4036  
4-14    23      1.3345  0       0       0       39.506  7.4498  99.15   1.0491  0.3881  
4-15    26      1.3006  0       0       0       38.593  -1.977  99.15   1.0401  0.3924  
4-16    18      1.3577  0       0       0       37.771  -5.331  99.13   1.0377  0.3703  
4-17    22      1.34    0       0       0       38.898  6.6707  99.14   1.0494  0.357   
4-18    12      1.4434  0       0       0       39.576  12.682  99.14   1.055   0.3584  
4-19    1       2.7038  0       0       0       43.811  48.1    99.17   1.0888  0.322   
4-20    5       1.7191  0       0       0       40.955  23.11   99.15   1.0643  0.3736  
4-21    11      1.462   0       0       0       39.727  13.582  99.14   1.0557  0.363   
4-22    19      1.345   0       0       0       38.942  7.07    99.14   1.0498  0.357   
4-23    6       1.6558  0       0       0       36.49   -17.07  99.12   1.0267  0.3671  
4-24    2       2.5968  0       0       0       34.268  -37.88  99.1    1.0071  0.3575  
4-25    15      1.3936  0       0       0       39.375  10.293  99.14   1.0526  0.3641  
4-26    9       1.5288  0       0       0       36.796  -12.74  99.12   1.0311  0.355   
4-27    8       1.5353  0       0       0       40.039  16.565  99.14   1.0586  0.3611  
4-28    13      1.4231  0       0       0       37.971  -9.701  99.14   1.0325  0.3997  
4-29    29      1.2817  0       0       0       39.011  -0.197  99.15   1.0414  0.4001  
4-30    14      1.4059  0       0       0       37.926  -8.742  99.14   1.0336  0.3944  
---------------------------------------------------------------------
Average :       1.526   0       0       0       39.02   2.821   99.14   
Optimum :       1.28    0       0       0       46.61   -0.2    99.26   
 
5-1     28      1.2801  0       0       0       39.062  0.2929  99.15   1.0419  0.4     
5-2     12      1.3451  0       0       0       40.122  8.9477  99.16   1.0499  0.4036  
5-3     17      1.3297  0       0       0       38.843  5.8582  99.14   1.0486  0.3603  
5-4     20      1.3151  0       0       0       39.704  6.625   99.16   1.0479  0.3981  
5-5     23      1.3006  0       0       0       38.593  -1.977  99.15   1.0401  0.3924  
5-6     1       1.5353  0       0       0       40.039  16.565  99.14   1.0586  0.3611  
5-7     9       1.3966  0       0       0       39.226  10.236  99.14   1.0531  0.3473  
5-8     27      1.269   0       0       0       39.645  2.4148  99.16   1.0434  0.4112  
5-9     13      1.3466  0       0       0       38.256  -5.724  99.14   1.0364  0.3948  
5-10    10      1.404   0       0       0       37.513  -7.883  99.13   1.0364  0.3044  
5-11    6       1.4516  0       0       0       38.092  -11.21  99.15   1.0307  0.4087  
5-12    5       1.4511  0       0       0       39.535  12.948  99.14   1.0555  0.3431  
5-13    22      1.2986  0       0       0       38.717  -2.362  99.15   1.0395  0.3985  
5-14    8       1.3948  0       0       0       40.468  11.63   99.16   1.0523  0.4051  
5-15    14      1.34    0       0       0       38.898  6.6707  99.14   1.0494  0.357   
5-16    24      1.3006  0       0       0       38.593  -1.977  99.15   1.0401  0.3924  
5-17    29      1.2801  0       0       0       39.062  0.2929  99.15   1.0419  0.4     
5-18    30      1.1836  0       0       0       43.072  -3.656  99.24   1.0336  0.4966  
